จังหวัด,โรคสมองเสื่อม,ติดแอลกอฮอล์,ติดยาบ้า (Amphetamine),ติดสารเสพติดอื่นๆ,โรคจิตเภท,โรคจิตอื่นๆ,โรคอารมณ์สองขั้ว,โรคชึมเศร้า,โรควิตกกังวล,ความบกพร่องทางสติปัญญา,ความบกพร่องทางการเรียนรู้,โรคออทิสติก,โรคสมาธิสั้น,พยามยามฆ่าตัวตาย (การตั้งใจทำร้ายตนเอง),ผู้ป่วยติดเกมส์ในผู้ใหญ่ (15 ปีขึ้นไป),ผู้ป่วยติดเกมส์ในเด็ก (อายุต่ำกว่า 15 ปี),โรคทางจิตเวชอื่นๆ,โรคลมชัก,รวม,ปี,pro_code
ภูเก็ต,286,254,229,85,810,411,101,1742,1403,217,215,472,914,79,4,10,3087,1037,10319,2564,83
สุราษฎร์ธานี,843,1400,3054,964,3793,1599,79,4763,6439,823,869,616,2238,466,4,35,6795,3308,34780,2564,84
ระนอง,127,163,282,347,603,245,442,1043,919,119,17,128,261,68,2,2,1098,527,5866,2564,85
ชุมพร,263,599,1103,852,1653,707,284,1709,1777,273,96,200,682,88,3,6,2076,1306,12371,2564,86
สงขลา,1005,1153,2716,3473,4295,2205,127,6670,7585,658,769,547,2505,536,5,30,8018,3332,42297,2564,90
สตูล,121,105,307,386,1130,441,285,1646,2055,97,139,82,331,66,0,5,1193,735,8389,2564,91
ตรัง,264,664,925,90,2146,1001,292,3358,3065,162,80,154,571,246,0,15,2721,1772,15754,2564,92
พัทลุง,313,438,876,603,1717,1085,430,2957,3679,116,128,103,410,136,2,11,1866,1174,14870,2564,93
ปัตตานี,220,131,515,2107,2704,555,353,1853,2954,189,137,128,279,53,0,9,1968,1036,14155,2564,94
ยะลา,161,140,449,144,1824,541,423,1921,1976,181,160,164,379,83,1,7,1436,1077,9990,2564,95
นราธิวาส,132,141,477,5076,2618,880,83,2483,2035,205,207,99,411,104,2,12,1380,1125,16345,2564,96
ไม่ระบุจังหวัด,10537,69435,29525,127876,70200,21429,5182,72259,89172,5887,8705,4603,15670,4680,36,350,105538,37869,641084,2564,0
รวม,51907,185045,155631,204984,284273,102703,34675,353267,338145,35270,31512,28973,93229,22099,410,3799,402386,189392,2328308,2564,0
กรุงเทพมหานคร,3278,1877,2048,3277,14078,3401,3100,17592,15402,2107,1163,3069,5838,200,117,159,9423,7549,93678,2565,10
สมุทรปราการ,355,740,570,593,2567,690,339,4377,3973,1139,882,3904,5095,118,7,58,4289,2387,32083,2565,11
นนทบุรี,1040,1255,924,1520,9206,1384,2763,10460,7105,890,359,973,1870,205,13,19,6965,2657,49608,2565,12
ปทุมธานี,310,973,1069,2812,2284,650,361,3837,2565,185,228,303,822,91,1,11,5004,1937,23443,2565,13
พระนครศรีอยุธยา,337,981,1538,1504,2268,1083,448,3889,2976,218,138,278,715,118,1,3,3465,1601,21561,2565,14
อ่างทอง,190,4715,634,3998,1140,199,160,2493,1147,177,121,310,454,34,0,3,1563,525,17863,2565,15
ลพบุรี,538,963,1127,869,2465,982,199,4136,3591,286,622,412,1097,136,0,1,4978,1805,24207,2565,16
สิงห์บุรี,495,307,323,227,803,400,128,2678,1768,79,50,73,350,31,0,6,3373,532,11623,2565,17
ชัยนาท,345,414,705,690,1209,377,53,2356,2718,54,24,50,155,46,3,6,6059,975,16239,2565,18
สระบุรี,463,2927,391,732,2684,530,277,3757,2802,222,531,336,1126,105,1,3,5077,1916,23880,2565,19
ชลบุรี,901,1411,991,1283,3405,1916,594,5914,5244,580,327,757,1206,165,3,76,8001,4290,37064,2565,20
ระยอง,998,713,823,706,1357,1133,390,2805,4470,107,102,187,574,175,2,13,3402,2609,20566,2565,21
จันทบุรี,420,980,582,1199,2000,769,513,3214,2624,252,324,209,803,169,14,4,3734,2105,19915,2565,22
ตราด,169,494,407,467,762,343,103,1456,979,105,177,60,243,36,0,0,1294,812,7907,2565,23
ฉะเชิงเทรา,434,1387,1083,1658,2048,994,366,3423,1914,332,241,199,1197,83,4,5,3735,1876,20979,2565,24
ปราจีนบุรี,290,1189,458,934,1653,359,126,1554,1564,123,82,134,432,48,1,0,2808,1416,13171,2565,25
นครนายก,284,382,582,3348,970,194,158,1232,1311,120,98,202,418,30,1,5,1307,755,11397,2565,26
สระแก้ว,172,1308,864,1016,2428,961,306,2190,1901,309,111,318,572,54,2,5,2111,1167,15795,2565,27
นครราชสีมา,2182,12082,3222,12139,11530,5285,1757,17180,13507,875,536,1039,2964,300,10,27,16565,7752,108952,2565,30
บุรีรัมย์,969,5803,2985,1752,8953,2873,651,7380,4890,362,448,333,2450,333,5,20,5784,5322,51313,2565,31
สุรินทร์,576,5165,1882,3205,6476,2732,234,9168,5119,239,255,336,1682,142,2,11,6722,3593,47539,2565,32
ศรีสะเกษ,947,7046,2839,2958,8073,5068,453,7027,8669,522,197,453,2411,125,4,13,5809,4324,56938,2565,33
อุบลราชธานี,1203,4107,2698,3664,7113,2735,477,8332,10935,404,203,382,3546,63,1,8,10672,7618,64161,2565,34
ยโสธร,158,1905,1488,2171,3585,1587,155,3161,2360,428,230,178,1381,28,3,0,1771,1894,22483,2565,35
ชัยภูมิ,321,3606,2892,4507,4536,2992,254,6015,4361,256,241,271,1091,115,1,11,4753,2739,38962,2565,36
อำนาจเจริญ,74,948,828,347,2244,742,144,1975,1909,72,123,142,774,29,1,1,1655,1087,13095,2565,37
บึงกาฬ,138,804,1896,766,2187,700,120,1179,979,68,22,133,218,60,0,54,1298,1036,11658,2565,38
หนองบัวลำภู,662,850,529,594,2061,692,95,2122,1514,99,39,73,205,37,0,0,1225,1011,11808,2565,39
ขอนแก่น,2234,4755,3906,7331,9220,4027,1212,9581,13259,641,372,911,1970,271,22,24,8723,5823,74282,2565,40
อุดรธานี,714,3028,2935,2417,6458,1784,531,4410,4470,304,144,399,547,75,1,3,5428,4282,37930,2565,41
เลย,345,2411,3050,2432,4141,1700,326,3857,6282,218,267,252,888,121,2,23,4105,2049,32469,2565,42
หนองคาย,94,786,828,897,1765,1016,145,1801,1201,131,51,211,383,55,1,1,2628,1264,13258,2565,43
มหาสารคาม,568,7653,2026,11436,2898,2143,242,4067,2917,142,101,224,691,61,6,4,2838,2485,40502,2565,44
ร้อยเอ็ด,365,3348,2875,2507,7129,3500,259,4301,5407,368,136,537,1927,188,0,12,5099,3665,41623,2565,45
กาฬสินธุ์,253,3788,2301,3443,4738,4079,233,3326,5124,142,101,147,646,111,2,5,4685,2386,35510,2565,46
สกลนคร,349,11210,2182,13240,5911,1846,342,4726,2807,192,108,183,630,116,4,121,5231,2994,52192,2565,47
นครพนม,204,1342,1193,619,4469,1420,332,2382,2978,211,72,487,1144,74,0,32,2264,1824,21047,2565,48
มุกดาหาร,151,867,857,429,2440,1346,130,2770,1124,49,302,176,958,11,10,2,968,1077,13667,2565,49
เชียงใหม่,3001,6581,3420,7816,6965,2687,2593,21574,14833,1076,1868,2698,6892,181,28,58,14053,8219,104543,2565,50
ลำพูน,503,1266,885,700,1808,480,254,6314,3020,248,623,144,990,67,0,8,3527,1788,22625,2565,51
ลำปาง,819,2210,1646,725,3043,1454,483,4993,7651,739,1198,465,3076,83,2,2,5310,3369,37268,2565,52
อุตรดิตถ์,496,1046,1127,909,1700,532,312,3899,1788,269,469,288,1874,42,11,2,2541,1674,18979,2565,53
แพร่,250,1490,2314,779,2216,632,290,3008,3513,120,319,284,498,65,1,5,3111,1599,20494,2565,54
น่าน,289,1985,1803,835,1798,635,453,3134,4097,284,103,256,2056,58,7,9,3568,1925,23295,2565,55
พะเยา,245,1452,651,924,2025,749,276,3961,2883,175,201,269,735,66,0,3,4545,1521,20681,2565,56
เชียงราย,756,3129,2645,4103,4901,1343,631,9964,6800,340,591,639,2645,159,2,12,5194,4382,48236,2565,57
แม่ฮ่องสอน,71,948,128,683,860,316,115,2836,2021,46,68,72,256,67,0,2,2366,985,11840,2565,58
นครสวรรค์,449,1539,1155,1472,4516,2318,449,7813,7777,325,230,443,1713,153,7,25,8897,3302,42583,2565,60
อุทัยธานี,240,1003,1310,822,1026,648,91,2037,1756,137,37,62,236,45,3,3,5494,1094,16044,2565,61
กำแพงเพชร,180,2037,1090,2568,1996,922,218,3270,2316,121,179,122,535,143,0,5,4986,2326,23014,2565,62
ตาก,265,1338,686,1147,1856,740,318,3295,2279,113,699,272,718,47,3,0,2150,1773,17699,2565,63
สุโขทัย,405,1071,2094,747,2059,596,248,3989,2103,197,167,198,299,57,0,9,3173,1561,18973,2565,64
พิษณุโลก,1512,1686,1871,2364,3235,844,583,6159,4907,392,473,708,2526,103,1,7,8261,3052,38684,2565,65
พิจิตร,245,883,783,486,1917,1046,203,2895,2181,144,449,226,666,38,0,0,4124,1339,17625,2565,66
